area_type,availability,location,size,society,total_sqft,bath,balcony,park_faci,dist_mainroad,price
Plot  Area,Ready To Move,HRBR Layout,3 Bedroom,,1200,3,2,0,90,240
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1790,3,2,0,48,105
Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVovelm,1125,2,2,1,167,75
Super built-up  Area,18-Dec,Hennur,3 BHK,Exitym ,1783 - 1878,3,0,1,31,84.205
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Spsic C,1100,2,1,1,177,50
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,120Sq. Yards,2,1,1,180,51
Built-up  Area,Ready To Move,Banaswadi,2 BHK,Shidei ,1105,2,2,0,110,57
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Juaxyan,1110,2,2,0,142,46.5
Super built-up  Area,Ready To Move,Dasanapura,1 BHK,Tavenew,708,1,1,0,112,41
Super built-up  Area,Ready To Move,Kudlu,2 BHK,,1027,2,2,1,145,44
Super built-up  Area,18-May,"Banashankari 3rd stage, Vivekanandanagar",3 BHK,,1600,3,1,1,52,100
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6,2,0,67,250
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mailsaf,1205,2,2,1,162,37
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,NDncysi,1450,2,2,1,72,73
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,750,4,2,0,21,125
Plot  Area,Ready To Move,Annaiah Reddy Layout,1 Bedroom,,540,1,0,1,173,22
Built-up  Area,Ready To Move,Dasarahalli,2 BHK,Prndsde,1200,2,2,1,105,42
Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,,1200,5,1,1,152,260
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Mykyayi,1837,2,2,0,34,95
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1346,2,1,0,195,76.01
Built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1012,2,1,0,37,68
Super built-up  Area,18-Dec,Gopalapura,3 BHK,Sothadr,1950.2,3,2,0,118,193
Super built-up  Area,Ready To Move,Atmananda Colony,2 BHK,,1125,2,2,0,35,55
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,SraruSr,1500,2,2,0,117,60
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2,1,0,116,79.9
Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1230,2,2,1,81,31.37
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,1100,2,2,1,82,47
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1563,2,2,0,66,52
Plot  Area,Ready To Move,4th Block Jayanagar,7 Bedroom,,2240,4,1,1,0,700
Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,GonumPl,3729,4,2,1,162,384
Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Krs A C,1600,3,1,0,71,120
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1715,3,3,1,139,120
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,2400,4,1,1,90,180
Super built-up  Area,18-Jul,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,1,170,42.5
Plot  Area,Ready To Move,Banaswadi,6 Bedroom,,1200,6,2,0,75,220
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1123,2,2,0,61,60
Super built-up  Area,20-Jan,Whitefield,2 BHK,,1276,2,1,0,109,69.5
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,1315,2,3,0,171,77
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1270,2,2,0,60,50.79
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,,1325,2,2,1,188,52
Super built-up  Area,18-Apr,Varthur,3 BHK,Muistry,1600,3,2,1,82,63.2
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Brdge0,1660,3,2,0,65,104
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Peace P,1299,2,3,0,21,58
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Ozensve,953,2,1,0,30,90
Super built-up  Area,Ready To Move,Gunjur,2 BHK,Paestol,1457,2,3,1,39,60
Super built-up  Area,18-May,Varthur,2 BHK,,1000,1,1,0,6,65
Built-up  Area,Ready To Move,Mallasandra,3 BHK,,1100,2,3,1,161,76.3
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Prdomt ,1075,2,1,0,157,33.53
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,0,59,51
Super built-up  Area,Ready To Move,Iblur Village,5 BHK,Emine P,5515,6,2,1,10,425
Super built-up  Area,Ready To Move,Bellandur,1 BHK,Trows M,950,1,1,1,32,40
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,,1200,3,1,1,91,180
Super built-up  Area,Ready To Move,Amam Enclave Layout,2 BHK,ArBayeb,1013,2,2,0,34,60
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1140,2,2,1,185,56
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2100,3,3,1,59,220
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Apows M,1430,3,1,0,38,61
Plot  Area,Ready To Move,Ilyas Nagar,4 Bedroom,,600,3,0,0,106,95
Carpet  Area,Ready To Move,Anantapura,3 BHK,Grare S,1600,3,2,1,73,77
Super built-up  Area,Ready To Move,Ayappa Nagar,2 BHK,Viconth,1190,2,1,1,173,48
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1625,3,2,0,161,95
Super built-up  Area,Ready To Move,Classic Paradise Layout,2 BHK,,1210,2,2,0,195,53
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1615,3,2,1,157,150
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,MancyRe,1180,2,2,0,65,85
Plot  Area,Ready To Move,Nagasandra,2 Bedroom,,1500,2,0,1,135,91
Built-up  Area,Ready To Move,Bellandur,2 BHK,Srure S,850,2,1,1,162,45
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1130,2,2,0,28,55
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,,907,2,2,1,178,38
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Vaaveeh,1300,2,3,1,128,90
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1891,3,1,0,154,110
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Soncy R,1735,3,3,0,111,78
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,0,188,33
Built-up  Area,Ready To Move,Gowdanapalya,5 BHK,,24Sq. Meter,5,0,0,28,75
Built-up  Area,Ready To Move,Kumaraswami Layout,7 BHK,,2040,4,3,1,121,123
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1590,3,2,1,116,57
Plot  Area,Ready To Move,Jayanti Nagar,5 Bedroom,,1600,5,2,1,75,140
Built-up  Area,Ready To Move,Doddakammanahalli,2 BHK,,1160,2,3,1,115,55
Super built-up  Area,Ready To Move,Tasker Town,2 BHK,,930,1,1,0,90,55
Built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1010,2,1,1,6,58
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Briumri,1221,2,2,0,88,68
Plot  Area,Ready To Move,Banashankari,4 Bedroom,,2400,4,3,1,105,470
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1108,2,1,1,86,87.48
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,1000,4,2,1,54,120
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1370,2,1,0,99,70
Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,,920,2,1,0,8,41.5
Super built-up  Area,18-May,Bhoganhalli,2 BHK,Rosha I,1277,2,1,1,41,79.89
Super built-up  Area,18-May,Horamavu Agara,2 BHK,,1213,2,2,1,189,38.1
Super built-up  Area,Ready To Move,Singasandra,3 BHK,,1653,3,2,1,177,85
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Peora P,2400,3,3,0,191,140
Super built-up  Area,Ready To Move,1st Block Koramangala,4 BHK,,3000,5,3,1,151,500
Plot  Area,Ready To Move,Kothanur,4 Bedroom,,1600,4,3,1,184,250
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Saent A,1321,2,,0,39,40
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3,2,1,90,68
Built-up  Area,Ready To Move,Hessarghatta,8 Bedroom,,1150,8,,0,34,70
Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,TrryaAi,1053,2,3,0,89,44
Super built-up  Area,Ready To Move,Hoysalanagar,3 BHK,PNncysi,1325,2,3,1,67,56
Super built-up  Area,18-Nov,manyata,2 BHK,,1169,2,1,1,105,50.11
Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,DNncasa,1274,2,1,1,101,90
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sparam ,1317,2,2,0,17,52
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1195,2,1,1,51,75
Super built-up  Area,18-Nov,Whitefield,4 BHK,Asarqz ,2528 - 3188,4,0,1,150,137
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Saineiv,940,2,2,1,100,35
Built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3,2,0,30,95.5
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3,3,1,97,53.6
Built-up  Area,Ready To Move,Whitefield,3 BHK,Sudama ,1615,3,0,1,152,96.9
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,2200,2,3,0,179,99
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,985,2,1,0,153,62.5
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1116,2,1,0,123,33
Super built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656,2,1,1,176,25
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2,1,0,99,39.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,S mesci,1220,2,1,0,168,55
Built-up  Area,Ready To Move,Hoodi,3 BHK,Macanr ,1400,3,2,0,152,74
Built-up  Area,Ready To Move,Bhuvaneswari Nagar,4 Bedroom,,2400,3,0,1,93,185
Plot  Area,Ready To Move,Anandapura,3 Bedroom,,850,3,0,0,189,63
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Apmes H,1000,2,1,1,44,35
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1660,3,3,0,179,80
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2,1,1,108,57
Super built-up  Area,18-May,Old Madras Road,2 BHK,SheldGr,1165,2,1,1,186,52
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,0,20,56
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Puentpa,1270,2,2,0,59,45
Super built-up  Area,18-Aug,2nd Phase JP Nagar,2 BHK,,1070,2,2,0,91,38
Built-up  Area,Ready To Move,RWF West Colony,3 BHK,PancyRe,1427,2,,1,35,85
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,SaideHi,1420,2,2,1,10,95
Plot  Area,Ready To Move,Kothanur,4 Bedroom,,1600,5,0,0,1,130
Super built-up  Area,Ready To Move,Langford Town,2 BHK,,2031,2,2,1,14,200
Super built-up  Area,19-Jul,Bellandur,2 BHK,Thesseg,1454,2,1,1,148,90
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Soe 2Sa,1116,2,3,1,112,48.76
Plot  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,,2000,3,1,0,116,180
Super built-up  Area,18-Jul,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,1,119,74.03
Super built-up  Area,Ready To Move,Hessarghatta,2 BHK,StwarSi,1062,2,1,1,62,50
Super built-up  Area,Ready To Move, Mysore Highway,1 BHK,,700,1,1,0,131,25.5
Super built-up  Area,19-Dec,JP Nagar,2 BHK,Shestut,1405,2,1,1,198,99
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2,2,0,154,50
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,Theanmp,2153,4,3,1,147,120
Plot  Area,Ready To Move,Kammagondahalli,3 Bedroom,,1200,3,2,1,123,120
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3,2,1,70,170
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1125,2,1,1,49,47
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1350,2,2,1,131,47.25
Built-up  Area,Ready To Move,Pai Layout,2 BHK,,1068,2,3,0,80,48
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Prianhi,940,2,1,1,27,32.9
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2,1,0,130,32.79
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Stlomg ,1382,2,2,1,104,84.5
Super built-up  Area,Ready To Move,Harlur,2 BHK,,936,2,1,0,86,45
Super built-up  Area,Ready To Move,KR Puram,3 BHK,RaiewLa,1400,2,3,1,172,60
Super built-up  Area,20-Aug,Sarjapur  Road,1 BHK,Ahciace,475,1,1,1,59,26
Super built-up  Area,Ready To Move,LIC Colony,2 BHK,,1200,2,1,1,70,115
Super built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,VMlet C,1450,3,3,0,183,65
Super built-up  Area,Ready To Move,Kudlu,2 BHK,GKityel,1162,2,1,0,143,52
Super built-up  Area,18-Dec,Hosa Road,2 BHK,Mahesr ,1161,2,1,0,39,48.75
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1623.29,2,2,0,118,105
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Keorai ,1260,2,1,1,145,70
Plot  Area,Ready To Move,Billekahalli,4 Bedroom,Raony C,1672,3,2,0,115,190
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Akone R,3000,4,2,0,94,240
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,Vauna F,1500,2,0,1,147,70
Super built-up  Area,20-Jun,Budigere,1 BHK,Brstaue,650 - 760,1,0,0,101,34.545
Plot  Area,Ready To Move,Gaurava Nagar,5 Bedroom,,1650,6,,1,18,200
Super built-up  Area,Ready To Move,Dollars Colony,3 BHK,Saent G,2000,3,3,1,120,200
Plot  Area,Ready To Move,Thyagaraja Nagar,1 Bedroom,,1675,1,0,1,144,241
Plot  Area,Ready To Move,Electronic City,3 Bedroom,EmrchAn,1200,3,2,0,177,150
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1100,2,2,0,126,46.2
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Salesni,1400,2,3,1,27,56
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,2257,3,2,1,97,155
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,1,53,56.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ceiti I,1197,2,1,1,124,56.86
Super built-up  Area,Ready To Move,Siddapura,2 BHK,Vidgema,1150,2,2,1,14,90
Super built-up  Area,20-Dec,Akshayanagara East,1 BHK,,595,1,1,0,178,40
Super built-up  Area,21-Jul,Hoodi,3 BHK,GoAirej,1837,3,1,0,21,110
Plot  Area,Ready To Move,Kumbalgodu,4 Bedroom,,3750,4,,0,200,190
Super built-up  Area,Ready To Move,Bellandur,3 BHK,OriewLa,1830,3,3,1,27,91.86
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1715,3,3,1,196,115
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MancyEl,970,2,1,0,132,35
Plot  Area,Ready To Move,Hebbal Kempapura,4 Bedroom,,1200,3,2,0,38,148
Built-up  Area,Ready To Move,NRI Layout,4 Bedroom,,2700,5,1,1,144,95.75
Plot  Area,Ready To Move,Siddapura,3 Bedroom,PrstaLa,5480,4,2,1,28,400
Built-up  Area,Ready To Move,Vidyaranyapura,4 BHK,,2400,5,1,0,77,135
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Nauha G,3040,4,2,1,141,135
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168,2,1,0,193,66
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,1,42,36.54
Built-up  Area,Ready To Move,Mallappa Layout,3 BHK,Keort F,1500,3,2,0,190,75
Plot  Area,Ready To Move,Kumaraswami Layout,2 Bedroom,,600,2,1,0,134,72
Plot  Area,Ready To Move,5th Phase JP Nagar,8 Bedroom,,1200,7,3,1,36,250
Super built-up  Area,18-Dec,ITPL,2 BHK,,850,2,1,0,163,25.4
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Apise P,935,2,2,1,161,39
Plot  Area,Ready To Move,Ullal Road,5 Bedroom,,1200,5,1,0,49,235
Super built-up  Area,18-Apr,Doddaballapur,1 BHK,,654,1,1,1,57,49
Built-up  Area,Ready To Move,Domlur,3 BHK,Prandm ,1650,3,1,1,17,180
Plot  Area,Ready To Move,Dodsworth Layout,3 Bedroom,Prleaou,5656,5,0,1,170,499
Super built-up  Area,Ready To Move,Vinayak Nagar,2 BHK,SLayaer,1300,2,1,0,45,33
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2,1,1,73,60
Super built-up  Area,18-May,Silk Board,3 BHK,,1250,3,2,0,190,54
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,1072,2,1,1,77,42.87
Super built-up  Area,Ready To Move,Ankappa Layout,3 BHK,Siuntar,1425,2,2,1,50,65
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sencys ,1165,1,0,1,173,42.09
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1390,2,2,1,122,69.49
Built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Rahidhi,1510,3,2,1,35,78
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,G conTh,1305,2,2,1,172,90
Plot  Area,Ready To Move,Vidyaranyapura,6 Bedroom,,1200,6,2,1,156,170
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Vitat H,866,2,2,1,123,32
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Vandak ,1231,2,1,1,40,84.5
Super built-up  Area,Ready To Move,Sompura,3 BHK,,1360,2,3,0,164,45
Super built-up  Area,Ready To Move,1hwanthpur,3 BHK,IBityin,2500,3,3,0,22,138
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1140,2,3,0,169,55
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,0,125,30
Super built-up  Area,19-Sep,Whitefield,2 BHK,,1295,2,1,1,54,64.5
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,1020,2,2,1,146,45.75
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,3504,4,,1,87,262
Plot  Area,Ready To Move,Sidedahalli,2 Bedroom,,1200,1,0,1,98,50
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,DSestil,1100,2,1,0,39,41
Plot  Area,19-Dec,Bannerghatta Road,4 Bedroom,Putere ,4723,4,3,0,165,500
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,820,2,2,1,41,37
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Prldsum,3508,4,1,1,63,386
Plot  Area,Ready To Move,Versova Layout,4 Bedroom,,3700,4,2,0,62,400
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Ajresre,1354,2,2,0,26,70
Super built-up  Area,Ready To Move,Basavangudi,4 BHK,Bousey ,2453,3,2,1,148,250
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1154,2,1,0,51,51.8
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1680,2,3,1,169,92
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1205,2,2,1,178,60
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,,1400,2,2,0,81,86
Carpet  Area,Ready To Move,Doopanahalli,3 BHK,VancyRe,1625,3,1,1,14,150
Built-up  Area,Ready To Move,Electronic City,3 Bedroom,,1500,3,1,1,12,73
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1520,2,3,1,4,80
Built-up  Area,Ready To Move,3rd Stage Raja Rajeshwari Nagar,2 BHK,,1300,3,1,1,49,65
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1150,2,2,1,114,47
Super built-up  Area,18-Apr,Kadugodi,3 BHK,Alestrb,1762,3,3,1,194,109
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,0,85,58
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,LedorSa,2650,4,1,0,16,223
Super built-up  Area,Ready To Move,Sompura,3 BHK,SSityri,1350,2,2,0,45,47
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Raony C,950,2,2,0,26,56
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Leero C,3295,3,3,0,115,310
Super built-up  Area,Ready To Move,Coconut Grove Layout,3 BHK,Keleti ,1515,3,3,0,39,80.5
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,Vincy R,1100,2,2,0,63,30
Super built-up  Area,Ready To Move,Byrasandra,2 BHK,,1250,2,2,1,63,65
Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,,1200,2,0,0,30,120
Super built-up  Area,Ready To Move,5th Phase JP Nagar,7 BHK,,2500,8,3,1,117,95
Plot  Area,Ready To Move,Hoskote,4 Bedroom,,1200,4,2,1,31,100
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1355,2,2,1,37,51.5
Super built-up  Area,18-May,Dominic Layout,3 BHK,,1115,3,1,1,74,39.14
Super built-up  Area,18-Apr,8th Phase JP Nagar,3 BHK,,1275,3,2,1,103,45
Super built-up  Area,19-Sep,Padmanabhanagar,3 BHK,SollyCl,2051,3,2,1,150,170
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,MRsicla,1470,2,2,1,182,99
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,VaantPl,1550,2,3,1,141,70
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1270,2,1,1,90,73
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119,4,2,0,194,111
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1600,3,3,0,88,170
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,ACiteda,1320,2,2,0,91,50
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3 BHK,MJarlPe,2505,3,,1,199,165
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Dhndsh ,1410,2,1,1,165,54
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DNlleks,1200,2,3,0,80,70
Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,,1705,2,1,1,48,86.96
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Palleon,995,2,1,0,29,48
Built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1081,2,1,1,57,52
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2,2,1,74,46
Super built-up  Area,18-Dec,Sonnenahalli,1 BHK,Skacak ,605,1,1,0,98,30.24
Built-up  Area,Ready To Move,Yelahanka,1 BHK,Ardanru,567,1,1,0,136,25
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,,1718,3,2,1,105,275
Super built-up  Area,20-Dec,Banashankari Stage VI,3 BHK,Brens7 ,1400 - 1421,2,0,0,108,70.385
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,3 Bedroom,,600,5,1,1,153,135
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1715,3,2,0,46,105
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,,3206,5,,1,101,270
Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,Roima A,1500,4,,0,2,235
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Esave E,1846,3,2,0,8,120
Plot  Area,Ready To Move,Coconut Garden,3 Bedroom,,600,3,1,0,137,90
Super built-up  Area,Ready To Move,Whitefield,2 BHK,AHodsWo,1015,2,3,0,7,56
Plot  Area,Ready To Move,Dollars Colony,4 Bedroom,,4350,8,,0,13,2600
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1100,2,1,1,195,36
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1965,4,2,1,156,125
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1021,2,2,0,152,45.9
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1230,2,1,0,45,67.65
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1260,2,2,0,183,55
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,,2400,4,1,1,51,700
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1894,4,1,1,55,114
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,1500,4,2,0,0,233
Super built-up  Area,20-Jun,Jakkur,3 BHK,SoineC ,1950,3,2,0,79,131
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,NDpalSe,1231,2,3,0,72,66
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1236,2,1,1,69,58
Built-up  Area,Ready To Move,R.T. Nagar,4 BHK,,1800,3,0,0,2,120
Super built-up  Area,Ready To Move,KAMAKIYA,3 BHK,,1650,3,2,1,183,135
Plot  Area,Ready To Move,Kirloskar Layout,5 Bedroom,,750,3,1,0,176,88
Super built-up  Area,Ready To Move,Begur,3 BHK,Arera V,1443,2,2,0,128,70
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,886,4,2,1,20,120
Super built-up  Area,Ready To Move,Wheelers Road,2 BHK,,925,2,1,0,16,68
Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1305,3,1,0,142,33.28
Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,,1190,2,2,0,88,46.41
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1284,2,2,0,149,53.36
Plot  Area,Ready To Move,MM Layout,4 Bedroom,,350,3,1,1,190,45
Plot  Area,Ready To Move,Palace Guttahalli,3 Bedroom,,875,3,1,0,27,115
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1325,2,1,1,39,59
Plot  Area,Ready To Move,Sector 6 HSR Layout,6 Bedroom,,2400,5,2,1,163,750
Super built-up  Area,18-Jun,Kudlu Gate,2 BHK,Sanzaat,1183,2,1,0,78,79.54
Built-up  Area,Ready To Move,Rajiv Gandhi Nagar,3 BHK,Almid P,1750,3,2,0,125,100
Super built-up  Area,Ready To Move,Nagashetty Halli,4 BHK,,16335,4,2,1,4,149
Super built-up  Area,Ready To Move,Doddagubbi,1 BHK,,747,1,2,0,106,27
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1342,2,1,1,122,90
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2,1,1,123,52
